,Tweet ID,User,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Date
86,1005465045793468416,BBC,One shocking day of sexual violence from the police altered the suffragettes' political strategy forever.,-0.7783,0.0,0.673,0.327,87,Sat Jun 09 15:02:02 +0000 2018
87,1005450449418416128,BBC, This is what love looks like. https://t.co/Qle1eoBU5x,0.7717,0.528,0.472,0.0,88,Sat Jun 09 14:04:02 +0000 2018
88,1005440388117786624,BBC," @ChanningTatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",0.0,0.0,1.0,0.0,89,Sat Jun 09 13:24:03 +0000 2018
89,1005435117098143744,BBC,Fifty nations are now taking action to reduce plastic pollution,0.0,0.0,1.0,0.0,90,Sat Jun 09 13:03:06 +0000 2018
90,1005425129520758784,BBC,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd,0.0,0.0,1.0,0.0,91,Sat Jun 09 12:23:25 +0000 2018
91,1005419991288565760,BBC,Your friend that likes gin will LOVE this. #TopOfTheShop ,0.8986,0.577,0.423,0.0,92,Sat Jun 09 12:03:00 +0000 2018
92,1005406873770700800,BBC,RT @BBCNews: The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke and Duchess,0.0,0.0,1.0,0.0,93,Sat Jun 09 11:10:52 +0000 2018
93,1005405176184954885,BBC," Fashion sense v common sense: the battle rages on.

Is the 'fanny pack shoe' an ugly fashion step too far?
",-0.8402,0.0,0.667,0.333,94,Sat Jun 09 11:04:08 +0000 2018
94,1005391579224399872,BBC,As football fans across the globe look forward to #Russia2018,0.0,0.0,1.0,0.0,95,Sat Jun 09 10:10:06 +0000 2018
95,1005391471242031104,BBC,RT @bbcstories: Ever wondered why alcohol can seem to solve all our problems,-0.6808,0.051,0.73,0.219,96,Sat Jun 09 10:09:40 +0000 2018
96,1005372857097052160,BBC,RT @BBCBreakfast: Yep,0.7717,0.268,0.732,0.0,97,Sat Jun 09 08:55:42 +0000 2018
97,1005372518520295424,BBC,"RT @bbcrb: Just amazing.
The WHOLE community was invited to this Iftar meal. THOUSANDS turned up! ",0.6239,0.194,0.806,0.0,98,Sat Jun 09 08:54:21 +0000 2018
98,1005372234431680512,BBC,RT @bbccomedy: Dame Emma Thompson! ,0.0,0.0,1.0,0.0,99,Sat Jun 09 08:53:14 +0000 2018
99,1005372150734295040,BBC,"RT @BBC6Music: Which riffs do you wish you had written?

",0.7579,0.245,0.755,0.0,100,Sat Jun 09 08:52:54 +0000 2018
100,1007314222710022145,CBS,In case you missed it,-0.296,0.0,0.833,0.167,1,Thu Jun 14 17:30:00 +0000 2018
101,1007296491021467648,CBS,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https,0.1779,0.147,0.734,0.12,2,Thu Jun 14 16:19:32 +0000 2018
102,1006330083148161025,CBS,No pain,-0.5562,0.134,0.551,0.315,3,Tue Jun 12 00:19:23 +0000 2018
